SEXE;AGQ;NPF5;g10;LAND;N3_03;g13;penf;g18;g6;g23;g25;g3;g3c;pcsi11;pcsi;ACTI;revr;pcsc11;pcsc;ACTC;revh;pip;QFRA_1c;QFRA_2c;QFRA_5c;QFRA_10c;QFRA_20c;QFRA_50c;QFRA_1e;QFRA_2e;QALL_1c;QALL_2c;QALL_5c;QALL_10c;QALL_20c;QALL_50c;QALL_1e;QALL_2e;QAUT_1c;QAUT_2c;QAUT_5c;QAUT_10c;QAUT_20c;QAUT_50c;QAUT_1e;QAUT_2e;QBEL_1c;QBEL_2c;QBEL_5c;QBEL_10c;QBEL_20c;QBEL_50c;QBEL_1e;QBEL_2e;QESP_1c;QESP_2c;QESP_5c;QESP_10c;QESP_20c;QESP_50c;QESP_1e;QESP_2e;QFIN_1c;QFIN_2c;QFIN_5c;QFIN_10c;QFIN_20c;QFIN_50c;QFIN_1e;QFIN_2e;QGRE_1c;QGRE_2c;QGRE_5c;QGRE_10c;QGRE_20c;QGRE_50c;QGRE_1e;QGRE_2e;QIRL_1c;QIRL_2c;QIRL_5c;QIRL_10c;QIRL_20c;QIRL_50c;QIRL_1e;QIRL_2e;QITA_1c;QITA_2c;QITA_5c;QITA_10c;QITA_20c;QITA_50c;QITA_1e;QITA_2e;QLUX_1c;QLUX_2c;QLUX_5c;QLUX_10c;QLUX_20c;QLUX_50c;QLUX_1e;QLUX_2e;QPAYB_1c;QPAYB_2c;QPAYB_5c;QPAYB_10c;QPAYB_20c;QPAYB_50c;QPAYB_1e;QPAYB_2e;QPOR_1c;QPOR_2c;QPOR_5c;QPOR_10c;QPOR_20c;QPOR_50c;QPOR_1e;QPOR_2e
1;45;1;9;10;DE111;1;2;1;1;5;5;1;1;4;3;3;1;4;3;3;1;0,742;0;0;0;0;2;1;1;0;5;3;2;3;4;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;31;2;9;10;DE111;3;2;1;2;3;3;1;1;5;2;3;6;5;2;3;10;0,952;0;0;0;0;0;0;0;0;2;1;2;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;42;3;9;10;DE111;3;2;1;2;2;2;1;1;5;2;3;6;5;2;3;10;0,767;0;0;0;0;0;0;0;0;5;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;39;2;9;10;DE111;2;2;2;1;2;2;1;1;5;2;3;7;5;2;3;9;0,698;0;0;0;0;0;0;0;0;4;3;3;5;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;63;1;5;10;DE112;4;2;1;1;3;3;3;3;10;6;7;5;10;6;7;11;1,305;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;52;2;3;10;DE112;2;2;2;1;2;2;3;3;11;6;8;3;11;6;8;5;1,322;0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;35;3;3;10;DE112;2;1;1;2;2;2;2;1;6;1;4;4;5;2;3;9;0,725;0;0;0;0;0;0;0;0;1;3;2;2;0;2;3;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;81;2;5;10;DE112;3;2;1;1;2;2;3;3;10;6;7;7;10;6;7;7;1,549;0;0;0;0;0;0;0;0;7;5;4;2;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;54;2;4;10;DE112;4;2;1;1;2;2;1;1;5;2;3;6;5;2;3;8;1,241;0;0;0;0;0;0;0;0;2;1;2;0;3;3;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;57;1;4;10;DE112;4;2;1;1;2;2;3;3;10;6;7;4;10;6;7;4;1,089;0;0;0;0;0;0;0;0;1;1;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
