Iden	MOIS	NUMISL	DEP	ZEAT	AGGL_FR	AGGL_FR_5	SEXE	AGE	AGE5	LIEN	LIEN2	NPF5	ACTI_FR	SIT_SAL	NB_SAL	SAL	QUAL_SAL	TPS_FR	ACTI_FR_CF	SIT_CF	NB_SAL_CF	SAL_CF	QUAL_SAL_CF	TPS_FR_CF	COUPLE	STM	DIPLIN_FR	DIPLIN3	DIPLCF_FR	DIPLCF3	HAB_TYP	HAB_STAT	REVR_FR	TX_EQUIP	RES_SEC	RSPC	REC_PRO	REC_PRO_CF 	PRO16_FR 	PRIN9	PRO16_FR_CF 	PRCF9	PRO6_FR	PRO6_FR_CF	E15	PENF_FR	STAN	Poids	REAC	P_FRA	P_ALL	P_AUT	P_BEL	P_ESP	P_FIN	P_GRE	P_IRL	P_ITA	P_LUX	P_PAY	P_POR	P_NON	DRAP	QFRA_01	QFRA_02	QFRA_03	QFRA_04	QFRA_05	QFRA_06	QFRA_07	QFRA_08	QFRA_TOT	QALL_01	QALL_02	QALL_03	QALL_04	QALL_05	QALL_06	QALL_07	QALL_08	QALL_TOT	QAUT_01	QAUT_02	QAUT_03	QAUT_04	QAUT_05	QAUT_06	QAUT_07	QAUT_08	QAUT_TOT	QBEL_01	QBEL_02	QBEL_03	QBEL_04	QBEL_05	QBEL_06	QBEL_07	QBEL_08	QBEL_TOT	QESP_01	QESP_02	QESP_03	QESP_04	QESP_05	QESP_06	QESP_07	QESP_08	QESP_TOT	QFIN_01	QFIN_02	QFIN_03	QFIN_04	QFIN_05	QFIN_06	QFIN_07	QFIN_08	QFIN_TOT	QGRE_01	QGRE_02	QGRE_03	QGRE_04	QGRE_05	QGRE_06	QGRE_07	QGRE_08	QGRE_TOT	QIRL_01	QIRL_02	QIRL_03	QIRL_04	QIRL_05	QIRL_06	QIRL_07	QIRL_08	QIRL_TOT	QITA_01	QITA_02	QITA_03	QITA_04	QITA_05	QITA_06	QITA_07	QITA_08	QITA_TOT	QLUX_01	QLUX_02	QLUX_03	QLUX_04	QLUX_05	QLUX_06	QLUX_07	QLUX_08	QLUX_TOT	QPAY_01	QPAY_02	QPAY_03	QPAY_04	QPAY_05	QPAY_06	QPAY_07	QPAY_08	QPAY_TOT	QPOR_01	QPOR_02	QPOR_03	QPOR_04	QPOR_05	QPOR_06	QPOR_07	QPOR_08	QPOR_TOT	NB_TOT	CODCOM	QCHY_01	QCHY_02	QCHY_03	QCHY_04	QCHY_05	QCHY_06	QCHY_07	QCHY_08	QESTO_01	QESTO_02	QESTO_03	QESTO_04	QESTO_05	QESTO_06	QESTO_07	QESTO_08	QMAL_01	QMAL_02	QMAL_03	QMAL_04	QMAL_05	QMAL_06	QMAL_07	QMAL_08	QSLVA_01	QSLVA_02	QSLVA_03	QSLVA_04	QSLVA_05	QSLVA_06	QSLVA_07	QSLVA_08	QSLVE_01	QSLVE_02	QSLVE_03	QSLVE_04	QSLVE_05	QSLVE_06	QSLVE_07	QSLVE_08	P_CHY	P_EST	P_MAL	P_SLVE	P_SLVA
FR04120001	36	7501	1	8	1	1	1	19	1	3	2	3	6	0	0	0	0	0	1	2	0	3	2	1	2	2	3	2	3	2	5	2	4	2	0	2	0	7	16	7	7	5	6	4	0	2	2	1.177654	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	2	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1005																																													
FR04120002	36	7502	1	8	1	1	1	79	5	1	1	1	5	2	0	3	1	1	0	0	0	0	0	0	2	3	5	3	5	3	3	1	8	1	0	1	6	0	14	8	14	8	6	6	0	2	2	0.797853	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	2	3	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1005																																													
FR04120003	36	7503	1	8	1	1	1	70	5	1	1	2	5	2	0	3	3	1	0	0	0	0	0	0	1	1	7	3	7	3	3	1	5	1	0	1	9	0	14	8	14	8	6	6	0	2	2	1.23241	1	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1005																																													
FR04120004	36	7504	1	8	1	1	2	83	5	2	2	2	10	0	0	0	0	0	5	2	0	1	3	2	1	1	2	2	3	2	3	1	11	1	0	1	0	10	15	9	14	8	6	6	0	2	1	1.166967	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1005																																													
FR04120005	36	7505	1	8	6	3	2	93	5	1	1	1	7	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1	1	5	2	2	0	0	1	0	0	15	9	15	9	6	6	0	2	1	0.695432	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053																																													
FR04120006	36	7506	1	8	6	3	2	36	3	2	2	5	1	2	0	1	3	1	1	2	0	3	5	1	1	1	3	2	4	2	5	2	4	1	0	1	10	12	10	5	12	2	4	5	3	1	1	0.849446	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1053																																													
FR04120007	36	7507	1	8	6	3	1	38	3	1	1	1	1	2	0	1	3	1	0	0	0	0	0	0	2	3	4	2	4	2	5	2	3	1	0	1	10	0	10	5	10	5	4	4	0	2	1	0.512039	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	1053																																													
FR04120008	36	7508	1	8	6	3	2	55	4	2	2	2	1	2	0	1	3	1	7	0	0	0	0	0	1	1	3	2	1	1	3	1	3	0	0	1	10	0	10	5	15	9	4	6	0	2	1	0.979924	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344																																													
FR04120009	36	7509	1	8	6	3	1	23	1	1	1	1	1	2	0	3	5	1	0	0	0	0	0	0	2	2	4	2	4	2	5	2	3	2	0	1	12	0	12	2	12	2	5	5	0	2	2	0.438456	1	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	1053																																													
FR04120010	36	7510	1	8	6	3	1	44	3	1	1	2	1	2	0	1	3	1	0	0	0	0	0	0	1	1	7	3	7	3	3	2	5	1	0	2	10	0	10	5	10	5	4	4	0	2	2	0.800973	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053																																													
FR04120011	36	7511	1	8	6	3	2	55	4	2	2	2	1	2	0	2	3	1	1	2	0	3	1	1	1	1	1	1	4	2	3	2	6	1	0	1	10	6	10	5	6	5	4	3	0	2	2	0.955867	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1053																																													
FR04120012	36	7512	1	8	6	3	1	25	2	1	1	1	1	2	0	3	5	1	0	0	0	0	0	0	2	2	2	2	2	2	5	3	3	0	0	1	12	0	12	2	12	2	5	5	0	2	1	0.374224	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1053																																													
FR04120013	36	7513	1	8	6	3	2	52	4	2	2	2	1	2	0	3	3	2	1	1	0	0	0	1	1	1	4	2	4	2	3	1	5	1	0	1	10	3	10	5	3	4	4	2	0	2	1	1.229624	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053																																													
FR04120014	36	7514	1	8	6	3	2	25	2	2	2	3	1	2	0	1	3	1	1	2	0	3	5	1	1	1	4	2	2	2	3	2	4	1	0	1	10	12	10	5	12	2	4	5	1	1	1	0.732221	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1053																																													
FR04120015	36	7515	1	8	6	3	2	73	5	1	1	1	7	0	0	0	0	0	0	0	0	0	0	0	2	3	7	3	7	3	4	2	2	0	0	1	0	0	15	9	15	9	6	6	0	2	1	0.695432	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053																																													
